Entity,Year,"Percentage of Americans living alone, by year, total (IPUMS)","Percentage of Americans living alone, by year, male (IPUMS)","Percentage of Americans living alone, by year, female (IPUMS)","Percentage of Americans living alone, by age, total (IPUMS)","Percentage of Americans living alone, by age, male (IPUMS)","Percentage of Americans living alone, by age, female (IPUMS)"
Year 1960,42,3.124074,3.127858400344849,3.120495080947876,,,
Year 1960,43,3.3687201,3.234769105911255,3.49498724937439,,,
Year 1960,44,3.7005141,3.559870719909668,3.834741592407227,,,
Year 1960,45,3.8069024,3.576137781143189,4.028939723968506,,,
Year 1960,46,4.0193028,3.639797210693359,4.387936592102051,,,
Year 1960,47,4.244051,3.745925426483154,4.71980094909668,,,
Year 1960,48,4.6582212,3.973947763442993,5.326297283172607,,,
Year 1960,49,5.4166942,4.441221714019775,6.349235534667969,,,
Year 1960,50,5.5225873,4.508384704589844,6.507718563079834,,,
Year 1960,51,5.7649078,4.511356353759766,6.977585792541504,,,
Year 1960,52,6.2776527,4.917827129364014,7.595218658447266,,,
Year 1960,53,6.5439434,4.962175369262695,8.078272819519043,,,
Year 1960,54,7.2993479,5.414731502532959,9.127853393554688,,,
Year 1960,55,7.8800569,5.758829116821289,9.917697906494141,,,
Year 1960,56,8.3941307,5.840691089630127,10.85722255706787,,,
Year 1960,57,8.7816486,6.039855480194092,11.31795978546143,,,
Year 1960,58,9.3310785,6.245127201080322,12.26871395111084,,,
Year 1960,59,10.280283,7.118742942810059,13.2170934677124,,,
Year 1960,60,10.958211,7.354874134063721,14.36561393737793,,,
Year 1960,61,11.518107,7.274428844451904,15.3396520614624,,,
Year 1960,62,12.009369,7.616564750671387,15.97210788726807,,,
Year 1960,63,12.588626,7.963865280151367,16.74235725402832,,,
Year 1960,64,13.311207,8.452395439147949,17.69952392578125,,,
Year 1960,65,14.226142,8.856179237365723,19.06168937683106,,,
Year 1960,66,14.78554,9.162128448486328,19.70137786865234,,,
Year 1960,67,15.619254,9.72545051574707,20.77294731140137,,,
Year 1960,68,16.259237,9.663897514343262,21.94555854797363,,,
Year 1960,69,17.115246,10.53316020965576,22.68618965148926,,,
Year 1960,70,17.897318,10.90362930297852,23.88080596923828,,,
Year 1960,71,18.707575,11.68531799316406,24.69193267822266,,,
Year 1960,72,19.026423,12.2705545425415,24.75187301635742,,,
Year 1960,73,19.581091,12.49269008636475,25.42395210266113,,,
Year 1960,74,20.240475,13.11211109161377,26.06641578674316,,,
Year 1960,75,20.639933,13.34408092498779,26.56325721740723,,,
Year 1960,76,20.691053,13.83617782592773,26.45691108703613,,,
Year 1960,77,21.288033,14.22036170959473,26.94120788574219,,,
Year 1960,78,21.350565,15.06040287017822,26.27266883850098,,,
Year 1960,79,21.246136,14.97801685333252,25.8583927154541,,,
Year 1960,80,21.33116,15.08780002593994,25.99723625183106,,,
Year 1960,81,20.796057,15.17169952392578,24.72351455688477,,,
Year 1960,82,20.225742,15.15904521942139,23.94263458251953,,,
Year 1960,83,19.189127,14.22680473327637,22.63267517089844,,,
Year 1960,84,19.317114,14.19063949584961,22.70086479187012,,,
Year 1960,85,18.742735,14.20925903320313,21.70042037963867,,,
Year 1960,86,17.62763,12.94672966003418,20.85561370849609,,,
Year 1960,87,16.053408,14.08674907684326,17.31160926818848,,,
Year 1960,88,15.650365,13.27243423461914,17.15353202819824,,,
Year 1960,89,14.518483,13.92486953735352,14.87539005279541,,,
Year 1980,18,1.0791981,1.093445897102356,1.064714431762695,,,
Year 1980,19,2.4349909,2.466465473175049,2.403354167938232,,,
Year 1980,20,4.0447688,4.440760612487793,3.649425983428955,,,
Year 1980,21,5.5592036,6.164429187774658,4.964120388031006,,,
Year 1980,22,7.6593108,8.670097351074219,6.658455848693848,,,
Year 1980,23,9.2768841,10.57491588592529,8.004378318786621,,,
Year 1980,24,9.9664879,11.5553092956543,8.397958755493164,,,
Year 1980,25,10.37466,12.16305637359619,8.616755485534668,,,
Year 1980,26,10.249133,12.21140670776367,8.34560489654541,,,
Year 1980,27,10.085257,12.34012794494629,7.864792823791504,,,
Year 1980,28,9.8304052,12.03341960906982,7.678364753723145,,,
Year 1980,29,9.5276995,11.64886379241943,7.445344924926758,,,
Year 1980,30,8.9690161,11.08928871154785,6.903114318847656,,,
Year 1980,31,8.394165,10.52190589904785,6.326791763305664,,,
Year 1980,32,7.8885651,10.07738494873047,5.772847175598145,,,
Year 1980,33,7.306643,9.358782768249512,5.301549434661865,,,
Year 1980,34,6.9873343,9.164678573608398,4.873470783233643,,,
Year 1980,35,6.8420029,8.971960067749023,4.783915042877197,,,
Year 1980,36,6.1510692,8.154040336608887,4.228679656982422,,,
Year 1980,37,5.8592734,7.766618728637695,4.038862705230713,,,
Year 1980,38,5.6572752,7.514769554138184,3.888955593109131,,,
Year 1980,39,5.9062786,7.821193218231201,4.047718524932861,,,
Year 1980,40,5.9464006,7.650598049163818,4.313389778137207,,,
Year 1980,41,5.7515244,7.29897928237915,4.280559539794922,,,
Year 1980,42,5.5961952,7.039293766021729,4.198259353637695,,,
Year 1980,43,5.7752209,7.062716007232666,4.552714347839356,,,
Year 1980,44,5.9379687,7.005107402801514,4.921014308929443,,,
Year 1980,45,6.1046829,7.102023601531982,5.169312477111816,,,
Year 1980,46,6.3156018,6.988231182098389,5.679183483123779,,,
Year 1980,47,6.5231996,7.046677112579346,6.034875869750977,,,
Year 1980,48,6.7679329,7.16996955871582,6.389322757720947,,,
Year 1980,49,7.2756953,7.531853199005127,7.0373215675354,,,
Year 1980,50,7.7496276,7.631453037261963,7.859230041503906,,,
Year 1980,51,8.0976124,7.568786144256592,8.589704513549805,,,
Year 1980,52,8.3898697,7.606476783752441,9.109726905822754,,,
Year 1980,53,8.7471781,7.660834312438965,9.73590087890625,,,
Year 1980,54,9.3072462,7.838581562042236,10.62817478179932,,,
Year 1980,55,9.9476089,8.079736709594727,11.60781574249268,,,
Year 1980,56,10.321854,7.900775909423828,12.48616027832031,,,
Year 1980,57,10.97718,7.995091438293457,13.64030361175537,,,
Year 1980,58,11.581773,8.069022178649902,14.71095371246338,,,
Year 1980,59,12.352173,8.28243350982666,15.95534133911133,,,
Year 1980,60,13.569151,8.821604728698731,17.69438743591309,,,
Year 1980,61,14.102774,8.306353569030762,19.15119171142578,,,
Year 1980,62,15.212089,8.809950828552246,20.75241279602051,,,
Year 1980,63,16.239281,9.175867080688477,22.25345230102539,,,
Year 1980,64,17.304758,9.638936996459961,23.77851486206055,,,
Year 1980,65,18.700823,10.07043266296387,25.80917739868164,,,
Year 1980,66,19.964174,10.56868839263916,27.62307548522949,,,
Year 1980,67,21.2446,10.69477367401123,29.56930160522461,,,
Year 1980,68,22.689751,11.27248287200928,31.67963027954102,,,
Year 1980,69,24.187555,11.86426067352295,33.49492645263672,,,
Year 1980,70,25.083408,12.31218242645264,34.75236511230469,,,
Year 1980,71,26.581018,12.71051216125488,36.81389999389648,,,
Year 1980,72,27.605614,13.17872524261475,38.00455474853516,,,
Year 1980,73,29.25609,13.76217174530029,40.09709548950195,,,
Year 1980,74,30.631298,14.44273185729981,41.66136932373047,,,
Year 1980,75,31.746202,15.15206718444824,42.59104919433594,,,
Year 1980,76,32.596581,15.20228672027588,43.91229248046875,,,
Year 1980,77,33.886753,16.50071144104004,44.7981071472168,,,
Year 1980,78,34.938999,17.19332122802734,45.67243957519531,,,
Year 1980,79,35.181366,18.16174697875977,44.88064193725586,,,
Year 1980,80,36.714165,19.51919364929199,46.19462966918945,,,
Year 1980,81,36.500843,19.20165824890137,45.68503570556641,,,
Year 1980,82,36.16658,20.48378753662109,44.45592880249023,,,
Year 1980,83,35.981117,20.66115760803223,43.97126388549805,,,
Year 1980,84,35.501331,20.9073486328125,42.71899795532227,,,
Year 1980,85,34.521126,21.59512710571289,40.88813781738281,,,
Year 1980,86,34.054302,22.98892211914063,39.18497848510742,,,
Year 1980,87,32.543907,21.99291229248047,37.48900985717773,,,
Year 1980,88,31.563732,22.59837913513184,35.45671844482422,,,
Year 1980,89,29.159912,22.46540069580078,31.97832107543945,,,
Year 2000,18,.88557899,.7878569960594177,.9887317419052124,,,
Year 2000,19,2.1294532,2.036990880966187,2.225957155227661,,,
Year 2000,20,3.4894004,3.461004734039307,3.51935338973999,,,
Year 2000,21,4.7959294,4.954276084899902,4.62971305847168,,,
Year 2000,22,6.5130763,6.661828517913818,6.357410430908203,,,
Year 2000,23,8.1187983,8.439089775085449,7.78593921661377,,,
Year 2000,24,8.7763672,9.61913013458252,7.911006450653076,,,
Year 2000,25,9.4213161,10.55979728698731,8.251621246337891,,,
Year 2000,26,9.5291939,10.86568641662598,8.167986869812012,,,
Year 2000,27,9.3453026,10.7816915512085,7.909096717834473,,,
Year 2000,28,9.7359133,11.53166007995606,7.901483535766602,,,
Year 2000,29,9.774271,11.6132230758667,7.920291423797607,,,
Year 2000,30,9.7933722,11.72792911529541,7.793285846710205,,,
Year 2000,31,9.1159191,11.17183494567871,7.055017471313477,,,
Year 2000,32,9.0012608,11.13791275024414,6.841003894805908,,,
Year 2000,33,8.8194771,11.13217353820801,6.495152950286865,,,
Year 2000,34,8.8060169,11.27548980712891,6.359534740447998,,,
Year 2000,35,8.8631248,11.46615505218506,6.277151584625244,,,
