Entity,Year,cost_animal_food,cost_animal_food_share,cost_energy_sufficient_diet,cost_energy_sufficient_relative_expenditure,cost_fruits,cost_fruits_share,cost_healthy_diet,cost_healthy_relative_expenditure,cost_legumes,cost_legumes_share,cost_nutrient_sufficient_diet,cost_nutrient_sufficient_relative_expenditure,cost_oils,cost_oils_share,cost_staples,cost_staples_share,cost_veg,cost_veg_share,energy_sufficient_unaffordable_number,energy_sufficient_unaffordable_share,healthy_unaffordable_number,nutrition_sufficient_unaffordable_number,nutrition_sufficient_unaffordable_share
Australia,2017,0.458,0.203,0.307,0.045,0.667,0.295,2.259,0.333,0.249,0.11,1.595,0.235,0.067,0.03,0.221,0.098,0.597,0.264,0.1,0.2,0.2,0.1,0.5
Australia,2018,,,,,,,2.273,,,,,,,,,,,,,,0.2,,
Australia,2019,,,,,,,2.325,,,,,,,,,,,,,,0.2,,
Australia,2020,,,,,,,2.561,,,,,,,,,,,,,,0.2,,
Austria,2017,0.612,0.221,0.346,0.049,0.819,0.295,2.772,0.39,0.36,0.13,2.256,0.318,0.055,0.02,0.229,0.083,0.698,0.252,0,0.2,0.1,0,0.5
Austria,2018,,,,,,,2.848,,,,,,,,,,,,,,0.1,,
Austria,2019,,,,,,,2.818,,,,,,,,,,,,,,0.1,,
Austria,2020,,,,,,,2.981,,,,,,,,,,,,,,0.1,,
Azerbaijan,2017,0.729,0.31,0.789,0.097,0.26,0.111,2.348,0.288,0.463,0.197,1.836,0.225,0.132,0.056,0.448,0.191,0.317,0.135,0,0,0,0,0
Azerbaijan,2018,,,,,,,2.399,,,,,,,,,,,,,,0,,
Azerbaijan,2019,,,,,,,2.459,,,,,,,,,,,,,,0,,
Azerbaijan,2020,,,,,,,2.533,,,,,,,,,,,,,,0,,
Bahamas,2017,0.848,0.198,1.049,0.169,1.03,0.241,4.276,0.69,0.656,0.153,4.683,0.755,0.453,0.106,0.574,0.134,0.716,0.167,,,,,
Bahamas,2018,,,,,,,4.387,,,,,,,,,,,,,,,,
Bahamas,2019,,,,,,,4.364,,,,,,,,,,,,,,,,
Bahamas,2020,,,,,,,4.488,,,,,,,,,,,,,,,,
Bahrain,2017,1.006,0.298,0.792,0.115,0.474,0.14,3.379,0.492,0.373,0.11,2.829,0.412,0.185,0.055,0.653,0.193,0.688,0.204,,,,,
Bahrain,2018,,,,,,,3.463,,,,,,,,,,,,,,,,
Bahrain,2019,,,,,,,3.573,,,,,,,,,,,,,,,,
Bahrain,2020,,,,,,,3.835,,,,,,,,,,,,,,,,
Bangladesh,2017,1.143,0.397,0.644,0.145,0.559,0.194,2.882,0.648,0.227,0.079,1.947,0.438,0.118,0.041,0.359,0.125,0.477,0.166,1.2,0.8,123.7,82.7,51.8
Bangladesh,2018,,,,,,,2.971,,,,,,,,,,,,,,120.5,,
Bangladesh,2019,,,,,,,3.024,,,,,,,,,,,,,,119.8,,
Bangladesh,2020,,,,,,,3.064,,,,,,,,,,,,,,121.1,,
Barbados,2017,,,0.896,0.218,,,,,,,2.226,0.542,,,,,,,,,,,
Belarus,2017,0.826,0.26,0.8,0.095,0.678,0.213,3.177,0.378,0.643,0.202,2.161,0.257,0.174,0.055,0.506,0.159,0.349,0.11,0,0,0.1,0,0.1
Belarus,2018,,,,,,,3.228,,,,,,,,,,,,,,0,,
Belarus,2019,,,,,,,3.31,,,,,,,,,,,,,,0,,
Belarus,2020,,,,,,,3.31,,,,,,,,,,,,,,0,,
Belgium,2017,0.745,0.26,0.263,0.032,0.79,0.276,2.862,0.347,0.369,0.129,2.406,0.291,0.06,0.021,0.222,0.078,0.677,0.237,0,0.1,0,0,0.3
Belgium,2018,,,,,,,2.962,,,,,,,,,,,,,,0,,
Belgium,2019,,,,,,,2.943,,,,,,,,,,,,,,0,,
Belgium,2020,,,,,,,3.13,,,,,,,,,,,,,,0,,
Belize,2017,0.776,0.313,1.13,0.461,0.162,0.065,2.476,1.009,0.224,0.09,2.803,1.143,0.129,0.052,0.38,0.153,0.805,0.325,0.1,13.9,0.1,0.2,45.5
Belize,2018,,,,,,,2.321,,,,,,,,,,,,,,0.1,,
Belize,2019,,,,,,,2.221,,,,,,,,,,,,,,0.1,,
Belize,2020,,,,,,,2.14,,,,,,,,,,,,,,0.1,,
Benin,2017,1.168,0.329,0.652,0.316,0.538,0.152,3.55,1.721,0.297,0.084,2.498,1.211,0.125,0.035,0.41,0.115,1.012,0.285,1.5,13.9,10.1,9.2,82.3
Benin,2018,,,,,,,3.67,,,,,,,,,,,,,,10,,
Benin,2019,,,,,,,3.664,,,,,,,,,,,,,,9.8,,
Benin,2020,,,,,,,3.707,,,,,,,,,,,,,,10.1,,
Bermuda,2017,0.502,0.123,1.099,0.104,0.478,0.117,4.072,0.387,0.53,0.13,4.706,0.447,0.165,0.041,0.743,0.182,1.652,0.406,,,,,
Bermuda,2018,,,,,,,3.842,,,,,,,,,,,,,,,,
Bermuda,2019,,,,,,,3.788,,,,,,,,,,,,,,,,
Bermuda,2020,,,,,,,3.616,,,,,,,,,,,,,,,,
Bhutan,2017,1.191,0.272,1.047,0.18,1.122,0.256,4.383,0.753,0.427,0.097,2.802,0.481,0.164,0.037,0.54,0.123,0.94,0.214,0,1.3,0.4,0.2,32.7
Bhutan,2018,,,,,,,4.587,,,,,,,,,,,,,,0.4,,
Bhutan,2019,,,,,,,4.712,,,,,,,,,,,,,,0.4,,
Bhutan,2020,,,,,,,5.029,,,,,,,,,,,,,,0.4,,
Bolivia,2017,1.046,0.295,1.468,0.258,0.411,0.116,3.551,0.624,0.53,0.149,3.338,0.586,0.14,0.039,0.781,0.22,0.644,0.181,1,9.3,3.4,3.1,28
Bolivia,2018,,,,,,,3.648,,,,,,,,,,,,,,3.3,,
Bolivia,2019,,,,,,,3.769,,,,,,,,,,,,,,2.9,,
Bolivia,2020,,,,,,,3.755,,,,,,,,,,,,,,2.9,,
Bonaire,2017,,,0.746,0.225,,,,,,,3.329,1.002,,,,,,,,,,,
Bosnia and Herzegovina,2017,0.921,0.239,0.691,0.087,0.916,0.238,3.847,0.487,0.512,0.133,3.051,0.386,0.132,0.034,0.54,0.14,0.825,0.214,0,0,0.2,0.1,2.3
Bosnia and Herzegovina,2018,,,,,,,3.89,,,,,,,,,,,,,,0.1,,
Bosnia and Herzegovina,2019,,,,,,,3.895,,,,,,,,,,,,,,0.1,,
Bosnia and Herzegovina,2020,,,,,,,3.995,,,,,,,,,,,,,,0.1,,
Botswana,2017,1.097,0.303,0.505,0.038,0.795,0.219,3.622,0.274,0.402,0.111,2.25,0.17,0.142,0.039,0.39,0.108,0.796,0.22,0,1.4,1.4,1,45.1
Botswana,2018,,,,,,,3.575,,,,,,,,,,,,,,1.4,,
Botswana,2019,,,,,,,3.591,,,,,,,,,,,,,,1.4,,
Botswana,2020,,,,,,,3.701,,,,,,,,,,,,,,1.4,,
Brazil,2017,0.635,0.226,0.848,0.191,0.46,0.164,2.809,0.634,0.742,0.264,2.657,0.599,0.067,0.024,0.439,0.156,0.465,0.166,6.6,3.2,38.1,35.2,16.9
Brazil,2018,,,,,,,2.8,,,,,,,,,,,,,,36,,
Brazil,2019,,,,,,,2.882,,,,,,,,,,,,,,37,,
Brazil,2020,,,,,,,3.084,,,,,,,,,,,,,,40.4,,
British Virgin Islands,2017,0.828,0.256,1.563,0.173,0.425,0.131,3.235,0.358,0.237,0.073,3.059,0.338,0.152,0.047,0.808,0.25,0.785,0.243,,,,,
British Virgin Islands,2018,,,,,,,3.153,,,,,,,,,,,,,,,,
British Virgin Islands,2019,,,,,,,3.313,,,,,,,,,,,,,,,,
British Virgin Islands,2020,,,,,,,3.337,,,,,,,,,,,,,,,,
Brunei,2017,1.123,0.272,0.762,0.143,0.894,0.217,4.126,0.772,0.405,0.098,2.376,0.445,0.098,0.024,0.674,0.163,0.932,0.226,,,,,
Brunei,2018,,,,,,,4.263,,,,,,,,,,,,,,,,
Brunei,2019,,,,,,,4.327,,,,,,,,,,,,,,,,
Brunei,2020,,,,,,,4.405,,,,,,,,,,,,,,,,
Bulgaria,2017,0.963,0.255,0.504,0.077,0.959,0.254,3.78,0.576,0.478,0.126,2.768,0.422,0.101,0.027,0.504,0.133,0.774,0.205,0,0.4,0.8,0.5,6.4
Bulgaria,2018,,,,,,,3.859,,,,,,,,,,,,,,0.6,,
Bulgaria,2019,,,,,,,3.896,,,,,,,,,,,,,,0.6,,
Bulgaria,2020,,,,,,,4.108,,,,,,,,,,,,,,0.6,,
Burkina Faso,2017,1.145,0.361,0.574,0.361,0.354,0.112,3.173,1.997,0.127,0.04,2.538,1.598,0.19,0.06,0.439,0.138,0.917,0.289,1.4,7.5,16.3,15.2,79
Burkina Faso,2018,,,,,,,3.296,,,,,,,,,,,,,,16.2,,
Burkina Faso,2019,,,,,,,3.24,,,,,,,,,,,,,,16.1,,
Burkina Faso,2020,,,,,,,3.345,,,,,,,,,,,,,,16.7,,
Burundi,2017,1.112,0.372,0.708,0.808,0.447,0.15,2.988,3.412,0.174,0.058,1.589,1.814,0.107,0.036,0.615,0.206,0.532,0.178,6.1,56.1,10.6,9.7,89.6
Burundi,2018,,,,,,,2.804,,,,,,,,,,,,,,10.8,,
Burundi,2019,,,,,,,2.783,,,,,,,,,,,,,,11.2,,
Burundi,2020,,,,,,,2.943,,,,,,,,,,,,,,11.6,,
Cabo Verde,2017,0.779,0.232,0.62,0.139,0.823,0.245,3.358,0.753,0.281,0.084,2.522,0.565,0.098,0.029,0.342,0.102,1.036,0.309,0,0.3,0.2,0.1,27.6
Cabo Verde,2018,,,,,,,3.413,,,,,,,,,,,,,,0.2,,
Cabo Verde,2019,,,,,,,3.484,,,,,,,,,,,,,,0.2,,
Cabo Verde,2020,,,,,,,3.563,,,,,,,,,,,,,,0.2,,
Cambodia,2017,1.226,0.339,0.993,0.256,0.526,0.145,3.618,0.933,0.422,0.117,2.761,0.712,0.15,0.041,0.503,0.139,0.791,0.219,,,,,
Cambodia,2018,,,,,,,3.706,,,,,,,,,,,,,,,,
Cambodia,2019,,,,,,,3.778,,,,,,,,,,,,,,,,
Cambodia,2020,,,,,,,3.888,,,,,,,,,,,,,,,,
Cameroon,2017,0.837,0.32,0.894,0.385,0.447,0.171,2.616,1.128,0.144,0.055,2.065,0.89,0.116,0.044,0.48,0.183,0.592,0.226,4.1,16.8,15,12.5,50.7
Cameroon,2018,,,,,,,2.684,,,,,,,,,,,,,,15.2,,
Cameroon,2019,,,,,,,2.744,,,,,,,,,,,,,,15.6,,
Cameroon,2020,,,,,,,2.808,,,,,,,,,,,,,,16.1,,
Canada,2017,0.766,0.268,0.673,0.106,0.673,0.235,2.863,0.451,0.31,0.108,2.111,0.333,0.078,0.027,0.43,0.15,0.605,0.211,0,0,0.3,0.2,0.5
Canada,2018,,,,,,,2.911,,,,,,,,,,,,,,0.3,,
Canada,2019,,,,,,,2.918,,,,,,,,,,,,,,0.2,,
Canada,2020,,,,,,,3.008,,,,,,,,,,,,,,0.3,,
Cayman Islands,2017,0.585,0.2,1.095,0.175,0.654,0.223,2.928,0.469,0.257,0.088,2.231,0.358,0.125,0.043,0.556,0.19,0.75,0.256,,,,,
Cayman Islands,2018,,,,,,,2.874,,,,,,,,,,,,,,,,
Cayman Islands,2019,,,,,,,2.714,,,,,,,,,,,,,,,,
Cayman Islands,2020,,,,,,,2.765,,,,,,,,,,,,,,,,
Central African Republic,2017,1.284,0.375,1.021,0.823,0.345,0.101,3.423,2.761,0.141,0.041,1.706,1.376,0.174,0.051,0.525,0.153,0.955,0.279,3.2,70.3,4.4,3.9,85.4
Central African Republic,2018,,,,,,,3.507,,,,,,,,,,,,,,4.4,,
Central African Republic,2019,,,,,,,3.57,,,,,,,,,,,,,,4.5,,
Central African Republic,2020,,,,,,,3.615,,,,,,,,,,,,,,4.6,,
Chad,2017,0.882,0.312,0.709,0.365,0.39,0.138,2.831,1.458,0.187,0.066,1.761,0.907,0.172,0.061,0.497,0.176,0.703,0.248,2.1,13.9,12.8,9.8,65
Chad,2018,,,,,,,2.728,,,,,,,,,,,,,,12.9,,
Chad,2019,,,,,,,2.659,,,,,,,,,,,,,,13.1,,
Chad,2020,,,,,,,2.821,,,,,,,,,,,,,,13.7,,
Chile,2017,0.765,0.251,0.644,0.104,0.619,0.203,3.053,0.491,0.261,0.085,2.179,0.35,0.116,0.038,0.352,0.115,0.94,0.308,0,0.2,0.6,0.2,1.2
Chile,2018,,,,,,,3.18,,,,,,,,,,,,,,0.6,,
Chile,2019,,,,,,,3.213,,,,,,,,,,,,,,0.6,,
Chile,2020,,,,,,,3.402,,,,,,,,,,,,,,0.7,,
China,2017,0.672,0.261,0.848,0.308,0.617,0.24,2.571,0.935,0.281,0.109,2.111,0.767,0.093,0.036,0.429,0.167,0.478,0.186,2.3,0.2,199.3,111.7,8
China,2018,,,,,,,2.63,,,,,,,,,,,,,,160.5,,
China,2019,,,,,,,2.792,,,,,,,,,,,,,,141.4,,
China,2020,,,,,,,2.983,,,,,,,,,,,,,,168.7,,
Colombia,2017,0.798,0.279,0.991,0.223,0.492,0.172,2.863,0.645,0.262,0.092,2.526,0.569,0.146,0.051,0.548,0.191,0.617,0.216,1.7,3.5,12.1,9.9,20.3
Colombia,2018,,,,,,,2.893,,,,,,,,,,,,,,12.1,,
Colombia,2019,,,,,,,2.93,,,,,,,,,,,,,,12.7,,
Colombia,2020,,,,,,,3.065,,,,,,,,,,,,,,13.5,,
Comoros,2017,,,1.101,0.297,,,,,,,3.461,0.934,,,,,,,,,,,
Congo,2017,0.633,0.189,0.987,0.449,0.733,0.219,3.343,1.52,0.224,0.067,2.576,1.171,0.1,0.03,0.532,0.159,1.12,0.335,2.4,46.4,4.7,4.4,85.3
Congo,2018,,,,,,,3.385,,,,,,,,,,,,,,4.8,,
Congo,2019,,,,,,,3.365,,,,,,,,,,,,,,5,,
Congo,2020,,,,,,,3.422,,,,,,,,,,,,,,5.1,,
Costa Rica,2017,0.863,0.218,0.973,0.158,0.587,0.148,3.961,0.642,0.411,0.104,2.824,0.458,0.094,0.024,0.617,0.156,1.388,0.35,0,0.8,0.8,0.4,8.1
Costa Rica,2018,,,,,,,4,,,,,,,,,,,,,,0.8,,
Costa Rica,2019,,,,,,,4.041,,,,,,,,,,,,,,0.8,,
Costa Rica,2020,,,,,,,4.11,,,,,,,,,,,,,,0.9,,
Croatia,2017,0.955,0.229,0.663,0.077,0.95,0.228,4.168,0.481,0.556,0.133,3.211,0.371,0.073,0.018,0.496,0.119,1.138,0.273,0,0.4,0.3,0.2,3.8
Croatia,2018,,,,,,,4.202,,,,,,,,,,,,,,0.2,,
Croatia,2019,,,,,,,4.111,,,,,,,,,,,,,,0.1,,
Croatia,2020,,,,,,,4.277,,,,,,,,,,,,,,0.2,,
Curacao,2017,0.673,0.235,1.137,0.218,0.466,0.163,2.866,0.549,0.295,0.103,2.396,0.459,0.114,0.04,0.607,0.212,0.711,0.248,,,,,
Curacao,2018,,,,,,,2.988,,,,,,,,,,,,,,,,
Curacao,2019,,,,,,,3.144,,,,,,,,,,,,,,,,
Curacao,2020,,,,,,,3.328,,,,,,,,,,,,,,,,
Cyprus,2017,0.697,0.245,0.577,0.095,0.724,0.254,2.846,0.468,0.279,0.098,2.068,0.34,0.08,0.028,0.416,0.146,0.65,0.228,0,0,0,0,0.1
Cyprus,2018,,,,,,,2.868,,,,,,,,,,,,,,0,,
Cyprus,2019,,,,,,,2.836,,,,,,,,,,,,,,0,,
Cyprus,2020,,,,,,,2.969,,,,,,,,,,,,,,0,,
Czechia,2017,0.7,0.241,0.441,0.058,0.693,0.239,2.899,0.384,0.377,0.13,2.361,0.313,0.076,0.026,0.297,0.102,0.757,0.261,0,0,0,0,0.2
Czechia,2018,,,,,,,2.921,,,,,,,,,,,,,,0,,
Czechia,2019,,,,,,,2.919,,,,,,,,,,,,,,0,,
Czechia,2020,,,,,,,2.966,,,,,,,,,,,,,,0,,
Democratic Republic of Congo,2017,1.207,0.413,0.56,0.36,0.315,0.108,2.921,1.878,0.136,0.047,2.049,1.318,0.076,0.026,0.383,0.131,0.804,0.275,31.3,38.5,78.5,74.5,91.5
Democratic Republic of Congo,2018,,,,,,,2.344,,,,,,,,,,,,,,78.5,,
Democratic Republic of Congo,2019,,,,,,,2.127,,,,,,,,,,,,,,78.7,,
Democratic Republic of Congo,2020,,,,,,,2.077,,,,,,,,,,,,,,80.6,,
Denmark,2017,0.498,0.21,0.3,0.044,0.546,0.23,2.376,0.348,0.263,0.111,1.728,0.253,0.053,0.022,0.235,0.099,0.78,0.328,0,0.1,0,0,0.2
Denmark,2018,,,,,,,2.44,,,,,,,,,,,,,,0,,
Denmark,2019,,,,,,,2.432,,,,,,,,,,,,,,0,,
Denmark,2020,,,,,,,2.544,,,,,,,,,,,,,,0,,
Djibouti,2017,0.988,0.353,0.616,0.257,0.556,0.199,2.797,1.167,0.165,0.059,2.459,1.026,0.111,0.04,0.449,0.161,0.529,0.189,0.1,5.3,0.6,0.5,56.9
Djibouti,2018,,,,,,,2.866,,,,,,,,,,,,,,0.6,,
Djibouti,2019,,,,,,,2.985,,,,,,,,,,,,,,0.6,,
Djibouti,2020,,,,,,,3.112,,,,,,,,,,,,,,0.6,,
Dominica,2017,0.841,0.21,1.217,0.265,0.66,0.165,4,0.87,0.363,0.091,3.478,0.756,0.146,0.037,0.764,0.191,1.226,0.307,,,,,
Dominica,2018,,,,,,,4.146,,,,,,,,,,,,,,,,
Dominica,2019,,,,,,,4.236,,,,,,,,,,,,,,,,
Dominica,2020,,,,,,,4.345,,,,,,,,,,,,,,,,
Dominican Republic,2017,0.898,0.255,1.181,0.152,0.534,0.152,3.521,0.455,0.362,0.103,2.876,0.371,0.181,0.051,0.681,0.193,0.865,0.246,0.1,0.9,2.2,1.4,13.1
Dominican Republic,2018,,,,,,,3.608,,,,,,,,,,,,,,1.9,,
Dominican Republic,2019,,,,,,,3.744,,,,,,,,,,,,,,1.8,,
Dominican Republic,2020,,,,,,,3.884,,,,,,,,,,,,,,2,,
East Asia and Pacific,2017,0.933,,0.973,,0.821,,3.7,,0.363,,2.62,,0.124,,0.617,,0.842,,22.4,1,553.2,341.1,15.1
East Asia and Pacific,2018,,,,,,,3.778,,,,,,,,,,,,,,508,,
East Asia and Pacific,2019,,,,,,,3.871,,,,,,,,,,,,,,479.1,,
East Asia and Pacific,2020,,,,,,,4.054,,,,,,,,,,,,,,522.3,,
Ecuador,2017,0.753,0.27,1.348,0.314,0.329,0.118,2.788,0.65,0.341,0.122,2.512,0.586,0.129,0.046,0.81,0.291,0.426,0.153,0.8,4.7,3.2,2.7,16
Ecuador,2018,,,,,,,2.816,,,,,,,,,,,,,,3.3,,
Ecuador,2019,,,,,,,2.861,,,,,,,,,,,,,,3.7,,
Ecuador,2020,,,,,,,2.928,,,,,,,,,,,,,,3.8,,
Egypt,2017,1.209,0.35,0.988,0.082,0.531,0.154,3.457,0.286,0.384,0.111,2.29,0.189,0.264,0.076,0.58,0.168,0.489,0.141,2,2,73.5,43.3,44.9
Egypt,2018,,,,,,,3.507,,,,,,,,,,,,,,77.3,,
Egypt,2019,,,,,,,3.503,,,,,,,,,,,,,,76.2,,
Egypt,2020,,,,,,,3.369,,,,,,,,,,,,,,74.6,,
El Salvador,2017,,,1.46,0.271,,,,,,,5.866,1.089,,,,,,,,,,,
Equatorial Guinea,2017,0.804,0.228,0.768,0.08,0.593,0.168,3.526,0.365,0.234,0.066,1.865,0.193,0.119,0.034,0.623,0.177,1.152,0.327,,,,,
Equatorial Guinea,2018,,,,,,,3.599,,,,,,,,,,,,,,,,
Equatorial Guinea,2019,,,,,,,3.635,,,,,,,,,,,,,,,,
Equatorial Guinea,2020,,,,,,,3.676,,,,,,,,,,,,,,,,
Estonia,2017,0.752,0.241,0.418,0.05,0.742,0.237,3.125,0.372,0.671,0.215,2.554,0.304,0.085,0.027,0.333,0.107,0.542,0.173,0,0.2,0,0,0.7
Estonia,2018,,,,,,,3.188,,,,,,,,,,,,,,0,,
Estonia,2019,,,,,,,3.17,,,,,,,,,,,,,,0,,
Estonia,2020,,,,,,,3.308,,,,,,,,,,,,,,0,,
Eswatini,2017,1.136,0.331,0.931,0.153,0.524,0.153,3.428,0.562,0.342,0.1,2.244,0.368,0.154,0.045,0.506,0.148,0.766,0.223,0.3,22.8,0.8,0.7,60.4
Eswatini,2018,,,,,,,3.349,,,,,,,,,,,,,,0.8,,
Eswatini,2019,,,,,,,3.395,,,,,,,,,,,,,,0.8,,
Eswatini,2020,,,,,,,3.391,,,,,,,,,,,,,,0.8,,
Ethiopia,2017,0.882,0.284,0.721,0.508,0.777,0.25,3.108,2.188,0.271,0.087,2.004,1.411,0.189,0.061,0.444,0.143,0.545,0.175,10.9,10.3,94,74.4,69.9
Ethiopia,2018,,,,,,,3.147,,,,,,,,,,,,,,94.9,,
Ethiopia,2019,,,,,,,3.29,,,,,,,,,,,,,,96.9,,
Ethiopia,2020,,,,,,,3.366,,,,,,,,,,,,,,99.7,,
Europe and Central Asia,2017,0.749,,0.545,,0.684,,2.954,,0.371,,2.232,,0.09,,0.372,,0.687,,1.7,0.2,32.7,16.9,2
Europe and Central Asia,2018,,,,,,,3.016,,,,,,,,,,,,,,28.4,,
Europe and Central Asia,2019,,,,,,,3.037,,,,,,,,,,,,,,29.3,,
Europe and Central Asia,2020,,,,,,,3.139,,,,,,,,,,,,,,30.2,,
Fiji,2017,1.001,0.277,0.849,0.11,0.914,0.253,3.612,0.468,0.198,0.055,2.558,0.331,0.187,0.052,0.516,0.143,0.795,0.22,0,0.3,0.5,0.2,26.9
Fiji,2018,,,,,,,3.677,,,,,,,,,,,,,,0.5,,
Fiji,2019,,,,,,,3.858,,,,,,,,,,,,,,0.5,,
Fiji,2020,,,,,,,3.914,,,,,,,,,,,,,,0.5,,
Finland,2017,0.543,0.213,0.28,0.039,0.597,0.235,2.545,0.358,0.407,0.16,2.465,0.347,0.077,0.03,0.195,0.077,0.727,0.286,0,0.1,0,0,0.1
Finland,2018,,,,,,,2.624,,,,,,,,,,,,,,0,,
Finland,2019,,,,,,,2.611,,,,,,,,,,,,,,0,,
Finland,2020,,,,,,,2.712,,,,,,,,,,,,,,0,,
France,2017,0.64,0.218,0.315,0.04,0.859,0.293,2.936,0.373,0.277,0.094,1.874,0.238,0.066,0.022,0.246,0.084,0.848,0.289,0,0,0,0,0
France,2018,,,,,,,3.019,,,,,,,,,,,,,,0.1,,
France,2019,,,,,,,3.067,,,,,,,,,,,,,,0.1,,
France,2020,,,,,,,3.219,,,,,,,,,,,,,,0.1,,
Gabon,2017,0.735,0.219,0.956,0.22,0.568,0.169,3.358,0.773,0.221,0.066,2.57,0.592,0.106,0.032,0.553,0.165,1.174,0.35,0.1,2.4,0.7,0.5,23.3
Gabon,2018,,,,,,,3.403,,,,,,,,,,,,,,0.8,,
Gabon,2019,,,,,,,3.485,,,,,,,,,,,,,,0.8,,
Gabon,2020,,,,,,,3.552,,,,,,,,,,,,,,0.8,,
Gambia,2017,0.589,0.2,0.983,0.39,0.659,0.224,2.942,1.167,0.141,0.048,2.529,1.003,0.165,0.056,0.49,0.167,0.897,0.305,0.2,7.5,1.5,1.3,58.9
Gambia,2018,,,,,,,3.008,,,,,,,,,,,,,,1.5,,
Gambia,2019,,,,,,,3.054,,,,,,,,,,,,,,1.5,,
Gambia,2020,,,,,,,3.11,,,,,,,,,,,,,,1.5,,
Germany,2017,0.666,0.239,0.262,0.036,0.714,0.256,2.786,0.384,0.301,0.108,2.224,0.307,0.052,0.019,0.235,0.084,0.816,0.293,0,0,0.2,0.2,0.2
Germany,2018,,,,,,,2.917,,,,,,,,,,,,,,0.2,,
Germany,2019,,,,,,,2.881,,,,,,,,,,,,,,0.2,,
Germany,2020,,,,,,,3.025,,,,,,,,,,,,,,0.2,,
Ghana,2017,1.235,0.328,0.824,0.501,0.395,0.105,3.767,2.288,0.172,0.046,2.516,1.528,0.15,0.04,0.552,0.147,1.263,0.335,2.2,7.7,18.8,12.6,43.2
Ghana,2018,,,,,,,3.86,,,,,,,,,,,,,,18.7,,
Ghana,2019,,,,,,,3.941,,,,,,,,,,,,,,18.4,,
Ghana,2020,,,,,,,4.033,,,,,,,,,,,,,,19,,
Greece,2017,0.797,0.262,0.672,0.076,0.581,0.191,3.037,0.345,0.41,0.135,2.557,0.291,0.096,0.032,0.41,0.135,0.742,0.244,0.1,0.5,0.5,0.3,2.9
